pdl_company,consumer_city,consumer_state,tribe_name,tribe_city,tribe_state,tribe_lat,tribe_lng,consumer_lat,consumer_lng
Western Sky Financial,Stanley,NC,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,35.35511268,-81.09385956
Western Sky Financial,LAS VEGAS,NM,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,35.60071122,-105.2202945
Western Sky Financial,Columbia,TN,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,35.62237396,-87.04833843
Western Sky Financial,COLUMBIA,TN,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,35.62237396,-87.04833843
Lakota Cash,STOKES,NC,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,35.7160177,-77.2658097
Lakota Cash,RALEIGH,NC,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,35.8302035,-78.6414394
Lakota Cash,LIBERTY,NC,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,35.85559345,-79.56807493
Lakota Cash,Chapel Hill,NC,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,35.9131996,-79.0558445
Western Sky Financial,BIXBY,OK,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,35.92005151,-95.87869258
Western Sky Financial,Smyrna,TN,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,35.97356254,-86.52401027
Lakota Cash,HIGH POINT,NC,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,35.9854702,-79.9902426
Western Sky Financial,Henderson,NV,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,36.0122334,-115.0374619
Western Sky Financial,GREENSBORO,NC,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,36.0964835,-79.8271079
Western Sky Financial,ELIZABETH CITY,NC,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,36.29397687,-76.23494065
Western Sky Financial,HENDERSON,NC,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,36.32577434,-78.41577022
Western Sky Financial,HENDERSEN,AR,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,36.3805556,-92.2277778
Western Sky Financial,Portland,TN,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,36.5912304,-86.52880454
Western Sky Financial,PONCA CITY,OK,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,36.706981,-97.0855948
Western Sky Financial,BIG STONE GAP,VA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,36.86155506,-82.77740248
Western Sky Financial,WILLIAMSBURG,VA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,37.26917247,-76.70719886
Western Sky Financial,Richmond,VA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,37.5407246,-77.4360481
Western Sky Financial,MONTPELIER,VA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,37.8212538,-77.6844344
Western Sky Financial,Lexington,KY,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,38.0423254,-84.45872596
Western Sky Financial,LEXINGTON,KY,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,38.0423254,-84.45872596
Western Sky Financial,Lexington,KY,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,38.0423254,-84.45872596
Western Sky Financial,HILLSBORO,KS,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,38.35227313,-97.19938251
Lakota Cash,ST. LOUIS,MO,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,38.63581226,-90.24511868
Western Sky Financial,SPRINGFIELD,VA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,38.78089165,-77.18384242
Western Sky Financial,ALEXANDRA,VA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,38.81838584,-77.0861828
Western Sky Financial,ALEXANDRIA,VA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,38.81838584,-77.0861828
Western Sky Financial,Centerville,VA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,38.8403909,-77.4288769
Western Sky Financial,Overland Park,KS,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,38.88729225,-94.6872267
Western Sky Financial,SOUTH SALEM,OH,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,39.33737394,-83.30696145
Western Sky Financial,CENTENNIAL,CO,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,39.59277093,-104.8679805
Western Sky Financial,CAMBY,IN,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,39.6455452,-86.3049611
Western Sky Financial,AURORA,CO,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,39.7294319,-104.8319195
Western Sky Financial,AURORA,CO,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,39.7294319,-104.8319195
Western Sky Financial,INDIANAPOLIS,IN,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,39.77710046,-86.14634767
Western Sky Financial,DAYTON,OH,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,39.77961307,-84.20082874
Western Sky Financial,FORKED RIVER,NJ,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,39.82019898,-74.14557102
Western Sky Financial,BARRINGTON,NJ,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,39.86893396,-75.05139386
Western Sky Financial,Thornton,CO,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,39.9180372,-104.9454484
Lakota Cash,Carnegie,PA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.40796302,-80.08602489
Western Sky Financial,FRANKLIN PARK,NJ,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.44387329,-74.54319609
Western Sky Financial,Tooele,UT,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.54408072,-112.3128526
Western Sky Financial,Plainfield,NJ,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.61527819,-74.41587935
Western Sky Financial,LINDENHURST,NY,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.68576507,-73.37099585
Lakota Cash,BROOKLYN,NY,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.6927778,-73.9902778
Western Sky Financial,BAY SHORE,NY,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.73180149,-73.25061978
Western Sky Financial,Bronx,NY,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.8370495,-73.8654295
Western Sky Financial,BRONX,NY,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.8370495,-73.8654295
Western Sky Financial,Hackensack,NJ,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.88897892,-74.04610738
Western Sky Financial,LANDING,NJ,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.9054107,-74.6656952
Western Sky Financial,HAWTHORNE,NJ,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,40.95792998,-74.15823467
Western Sky Financial,OAK RIDGE,NJ,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.0463617,-74.4856852
Western Sky Financial,FORT WAYNE,IN,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.08849204,-85.14358989
Western Sky Financial,WASHINGTON TERRACE,UT,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.16886176,-111.9782628
Western Sky Financial,BRIDGEPORT,CT,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.18705826,-73.19553341
Western Sky Financial,WARREN,OH,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.23899134,-80.81849803
Western Sky Financial,BRECKSVILLE,OH,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.30784591,-81.61936241
Western Sky Financial,TWINSBURG,OH,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.3125552,-81.4401129
Western Sky Financial,TWINSBURG,OH,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.3125552,-81.4401129
Western Sky Financial,HAMDEN,CT,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.3838782,-72.9026064
Western Sky Financial,UNIVERSITY HEIGHTS,OH,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.4948048,-81.53482107
Western Sky Financial,GRIFFITH,IN,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.52784737,-87.42399166
Western Sky Financial,Tinley Park,IL,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.5680905,-87.8034325
Western Sky Financial,TINLEY PARK,IL,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.5680905,-87.8034325
Western Sky Financial,Toledo,OH,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.66409973,-83.58189036
Lakota Cash,Oswego,IL,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.6828074,-88.3514596
Western Sky Financial,ELKHART,IN,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.69184954,-85.96623839
Western Sky Financial,RIVERSIDE,RI,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,41.7673231,-71.3647759
Western Sky Financial,BROWNSTOWN,MI,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,42.1261157,-83.2572332
Western Sky Financial,Grosse Pointe,MI,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,42.38032797,-82.9048991
Western Sky Financial,Somerville,MA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,42.39071844,-71.10130789
Western Sky Financial,FREMONT,IN,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,43.0119968,-108.6175626
Western Sky Financial,BALDWINSVILLE,NY,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,43.15701408,-76.33205687
Western Sky Financial,Minneapolis,MN,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,44.96354079,-93.26783453
Western Sky Financial,CLACKAMAS,OR,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,45.4076205,-122.5703692
Western Sky Financial,PORTLAND,OR,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,45.5371811,-122.6499872
Western Sky Financial,PORTLAND,OR,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,45.5371811,-122.6499872
Western Sky Financial,PENDLETON,OR,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,45.67451764,-118.8178818
Western Sky Financial,MISSOULA,MT,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,46.8693223,-114.0103464
Western Sky Financial,MISSOULA,MT,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,46.8693223,-114.0103464
Western Sky Financial,PUYALLUP,WA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,47.17931865,-122.2905441
Western Sky Financial,KENT,WA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,47.3849748,-122.2181993
Western Sky Financial,EAST WENATCHEE,WA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,47.41725037,-120.2808279
Western Sky Financial,GREAT FALLS,MT,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,47.5014389,-111.299975
Western Sky Financial,Post Falls,ID,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,47.72007683,-116.9381082
Western Sky Financial,DEER PARK,WA,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,47.96422321,-117.4397923
Western Sky Financial,SHELBY,MT,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,48.50198144,-111.8609678
Western Sky Financial,BOTTINEAU,ND,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,48.82496174,-100.4439441
Western Sky Financial,WESTIN,OH,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,,
Splash Cash Advance,MIAMI,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,25.77525637,-80.20885121
Plain Green,HIALEAH,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,25.86968776,-80.30444643
Plain Green,West Park,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,25.98400283,-80.19218374
Plain Green,WESTON,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,26.10020264,-80.40578418
Plain Green,WESTON,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,26.10020264,-80.40578418
Plain Green,FT. LAUDERDALE,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,26.1224386,-80.1373174
Plain Green,DELRAY BEACH,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,26.45497444,-80.09075136
Plain Green,LANTANA,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,26.58345555,-80.05525259
Plain Green,LANTANA,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,26.58345555,-80.05525259
Plain Green,Sarasota,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,27.3364347,-82.5306527
Plain Green,SUN CITY CENTER,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,27.71496454,-82.35694026
Plain Green,Saint Petersburg,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,27.7730556,-82.64
Plain Green,Tampa,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,27.96800236,-82.4763859
Plain Green,TAMPA,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,27.96800236,-82.4763859
Plain Green,Clearwater,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,27.9794747,-82.7662648
Splash Cash Advance,CASSELBERRY,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,28.66157496,-81.32155802
Plain Green,ALTAMONTE SPRINGS,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,28.66162903,-81.39475178
Plain Green,SANFORD,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,28.7894252,-81.275624
Plain Green,SOUTH DAYTONA,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,29.1658158,-81.0044995
Plain Green,SAN ANTONIO,TX,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,29.4241219,-98.4936282
Plain Green,FRIENDSWOOD,TX,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,29.51087781,-95.19801483
Plain Green,ST. AUGUSTINE,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,29.8942639,-81.3132083
Plain Green,SMITHVILLE,TX,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,30.0089601,-97.15161499
Plain Green,Kerrville,TX,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,30.03853487,-99.13125867
Plain Green,MIDDLEBURG,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,30.05036302,-81.90120656
Plain Green,LAPLACE,LA,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,30.07276226,-90.47521078
Plain Green,JACKSONVILLE,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,30.3321838,-81.655651
Plain Green,Pensacola,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,30.421309,-87.2169149
Plain Green,Pensacola,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,30.421309,-87.2169149
Plain Green,MIDWAY,FL,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,30.49952929,-84.46044798
